time_s,hrr_kW
0.0,351.75118988699944
205.90020592779118,1344.9395247596321
411.80041185558235,1593.5253447185662
617.7006177833736,3000.487355406302
823.6008237111647,5146.852187039532
1029.501029638956,5742.111814623026
1235.4012355667471,4322.640345536975
1441.3014414945383,2798.9046927535614
1647.2016474223294,2116.2214742469346
1853.1018533501206,1370.9921385077735
2059.002059277912,1251.4880501232608
2264.902265205703,1000.6085429866176
2470.8024711334942,862.6777228283781
2676.702677061285,471.203780547906
2882.6028829890765,409.51608434652843
3088.5030889168675,576.743923086892
3294.403294844659,515.3051344394715
3500.30350077245,293.2306336931925
3706.203706700241,331.11542810755327
3912.1039126280325,399.7725913175035
4118.004118555824,283.45204767624585
4323.904324483615,327.73106981992737
4529.804530411406,303.7459919206204
4735.704736339197,291.3094850699381
4941.6049422669885,271.2089814022149
